year,state,state_name,income_mean_bottom,income_mean_upper,income_mean_top,share_bottom,share_upper,share_top,n_bottom_50,n_upper_49,n_top_1,total,total_agi
2010,KY,Kentucky,12921.480768430418,69642.76768023349,611228.5156427416,0.13835159783078477,0.7307586948757311,0.1308897072934842,928233.5,909668.83,18564.670000000002,1856467.0,86693262.0
2011,KY,Kentucky,12757.185016514824,71038.4200134376,581077.3312938259,0.1357199561799118,0.740641811971534,0.12363823184855431,938413.0,919644.74,18768.260000000002,1876826.0,88207428.0
2012,KY,Kentucky,13489.432143700602,73357.17274847282,698234.4743055198,0.13578486522184233,0.7236463206474697,0.14056881413068806,939550.0,920759.0,18791.0,1879100.0,93338797.0
1997,LA,Louisiana,9557.509767118132,48036.54802912648,525100.0851111596,0.14236185292106993,0.7012078155241097,0.15643033155482045,912254.0,894008.92,18245.08,1824508.0,61244472.0
1998,LA,Louisiana,10076.787901775646,50043.88498474683,526861.2317809132,0.14466292022629096,0.7040641045232976,0.15127297525041145,923549.0,905078.02,18470.98,1847098.0,64331671.0
1999,LA,Louisiana,10392.13543806202,51282.42834887974,512584.9312001236,0.14657327877206172,0.7088341984246276,0.14459252280331072,929878.0,911280.44,18597.56,1859756.0,65928921.0
2000,LA,Louisiana,10870.455584302441,53245.689832112934,538391.8870237705,0.14725809575372628,0.7068739349831191,0.14586796926315462,937215.5,918471.19,18744.31,1874431.0,69184376.0
2001,LA,Louisiana,11329.43572627137,53778.82713895007,521481.321073546,0.1521499307338859,0.7077842287470328,0.14006584051908125,940523.5,921713.03,18810.47,1881047.0,70033555.0
2002,LA,Louisiana,10004.612158063976,56209.800158601,455694.75150143617,0.13482557740969991,0.7423524540360684,0.12282196855423164,939668.5,920875.13,18793.37,1879337.0,69727266.0
2003,LA,Louisiana,12644.03631384265,54955.479559014086,445105.31030070374,0.16768720161555348,0.7142516633862281,0.11806113499821834,939825.5,921028.99,18796.510000000002,1879651.0,70865204.0
2004,LA,Louisiana,18565.846951984786,51478.776625073806,462164.99939737254,0.23723791031563138,0.644649450964877,0.11811263871949162,934576.5,915884.97,18691.53,1869153.0,73138413.0
2005,LA,Louisiana,18565.87546798905,59578.60054222016,538058.5372143248,0.21166358446177236,0.6656517634372217,0.12268465210100599,885025.0,867324.5,17700.5,1770050.0,77629149.0
2006,LA,Louisiana,17844.910075159747,68609.02820387672,595581.5120113047,0.18398068622373348,0.693210630717069,0.12280868305919744,947362.0,928414.76,18947.24,1894724.0,91887850.0
2007,LA,Louisiana,16558.280877750083,60618.892643248335,510071.32147141144,0.19216672699195256,0.6894408660869494,0.118392406921098,1073136.5,1051673.77,21462.73,2146273.0,92468118.0
2008,LA,Louisiana,18391.47940319662,78134.54965459747,612949.1390984717,0.17152659313816312,0.7141410301219243,0.11433237673991255,991978.5,972138.9299999999,19839.57,1983957.0,106362237.0
2009,LA,Louisiana,19932.38414988885,69898.83159625072,491757.97493591567,0.202836155175379,0.6970791824352622,0.10008466238935873,980053.5,960452.4299999999,19601.07,1960107.0,96308288.0
2010,LA,Louisiana,11227.635908715387,73077.44541627199,792199.6725492062,0.1137695550679144,0.7256833716147024,0.16054707331738324,995452.0,975542.96,19909.04,1990904.0,98238695.0
2011,LA,Louisiana,12403.289051144231,73193.66363498385,695634.2180036649,0.12650509898415827,0.7315949981071002,0.1418999029087415,1011389.5,991161.71,20227.79,2022779.0,99162456.0
2012,LA,Louisiana,11859.527269596541,79012.7416358083,1019844.0887623113,0.10811967043626522,0.705928218207604,0.1859521113561308,1005885.0,985767.2999999999,20117.7,2011770.0,110334415.0
1997,MA,Massachusetts,13471.293567649196,66632.20076519014,845068.2779070637,0.1408067477516643,0.6825341730847037,0.17665907916363197,1479370.0,1449782.5999999999,29587.4,2958740.0,141534606.0
1998,MA,Massachusetts,14088.273115836837,71042.76652632229,995689.9225117118,0.13595571932621422,0.6718706359298162,0.19217364474396956,1505731.5,1475616.8699999999,30114.63,3011463.0,156029895.0
1999,MA,Massachusetts,15003.516374747795,75745.60977362169,1194648.3401444731,0.13262521238937847,0.6561703127597152,0.21120447485090646,1524385.5,1493897.79,30487.71,3048771.0,172449434.0
