country,year,bottom_50,top_1,gap
new_zealand,1943,0.1394,0.1347,-0.00470000000000001
new_zealand,1944,0.1437,0.133,-0.010699999999999987
new_zealand,1945,0.1481,0.1313,-0.01680000000000001
new_zealand,1946,0.1375,0.1419,0.004399999999999987
new_zealand,1947,0.1295,0.1452,0.015699999999999992
new_zealand,1948,0.1266,0.1457,0.019100000000000006
new_zealand,1949,0.1226,0.1507,0.0281
new_zealand,1950,0.117,0.1744,0.05739999999999999
new_zealand,1951,0.1247,0.1478,0.02309999999999998
new_zealand,1952,0.1199,0.1485,0.028599999999999987
new_zealand,1953,0.1199,0.1485,0.028599999999999987
new_zealand,1954,0.1217,0.1437,0.021999999999999992
new_zealand,1955,0.1258,0.1324,0.006599999999999995
new_zealand,1956,0.1214,0.1345,0.013100000000000014
new_zealand,1957,0.126,0.1314,0.005399999999999988
new_zealand,1958,0.1334,0.1108,-0.022599999999999995
new_zealand,1959,0.1304,0.1158,-0.014599999999999988
new_zealand,1960,0.1323,0.1137,-0.018600000000000005
new_zealand,1961,0.1323,0.1125,-0.019799999999999998
new_zealand,1962,0.1325,0.1111,-0.021400000000000002
new_zealand,1963,0.1323,0.1116,-0.020699999999999996
new_zealand,1964,0.1301,0.1137,-0.016399999999999998
new_zealand,1965,0.1355,0.1036,-0.03190000000000001
new_zealand,1966,0.1368,0.1012,-0.03560000000000001
new_zealand,1967,0.1356,0.1016,-0.034
new_zealand,1968,0.135,0.1034,-0.0316
new_zealand,1969,0.1355,0.1034,-0.032100000000000004
new_zealand,1970,0.1364,0.1025,-0.0339
new_zealand,1971,0.1363,0.1002,-0.03610000000000001
new_zealand,1972,0.1348,0.1106,-0.0242
new_zealand,1973,0.1328,0.1162,-0.016600000000000004
new_zealand,1974,0.1358,0.1082,-0.0276
new_zealand,1975,0.1472,0.0902,-0.056999999999999995
new_zealand,1976,0.1421,0.1077,-0.0344
new_zealand,1977,0.1511,0.0871,-0.06400000000000002
new_zealand,1978,0.151,0.0848,-0.0662
new_zealand,1979,0.1544,0.0808,-0.07360000000000001
new_zealand,1980,0.1512,0.0772,-0.074
new_zealand,1981,0.1514,0.0764,-0.07500000000000001
new_zealand,1982,0.1493,0.0773,-0.072
new_zealand,1983,0.1449,0.0863,-0.0586
new_zealand,1984,0.1491,0.0853,-0.06380000000000001
new_zealand,1985,0.1544,0.0812,-0.07320000000000002
new_zealand,1986,0.1588,0.0722,-0.0866
