year,state,state_name,income_mean_bottom,income_mean_upper,income_mean_top,share_bottom,share_upper,share_top,n_bottom_50,n_upper_49,n_top_1,total,total_agi
2007,AR,Arkansas,16171.962191417048,53091.297428838254,523598.6689006795,0.2055581777614184,0.6613349215624835,0.1331069006760978,696498.5,682568.53,13929.97,1392997.0,54795910.0
2008,AR,Arkansas,18916.593230296457,61124.37004756906,505060.35014470754,0.2127379745142118,0.673662801154907,0.113599224330881,611818.5,599582.13,12236.37,1223637.0,54402707.0
2009,AR,Arkansas,19976.31552868893,60942.94398616651,523539.9908242851,0.2215376464840058,0.6623410224918619,0.1161213310241323,605822.0,593705.5599999999,12116.44,1211644.0,54627697.0
2010,AR,Arkansas,12010.787142878578,66908.53763221233,693271.150587128,0.1313421183429106,0.7170346775806953,0.151623204076394,612166.5,599923.17,12243.33,1224333.0,55980531.0
2011,AR,Arkansas,11095.601515419245,68422.60684587326,732718.9514197799,0.1195593438287868,0.7225341255141313,0.1579065306570818,617229.5,604884.91,12344.59,1234459.0,57281450.0
2012,AR,Arkansas,12852.559977807046,71535.22599712572,990912.778695366,0.1250549047014388,0.6821142455360838,0.1928308497624773,609740.0,597545.2,12194.8,1219480.0,62666234.0
2013,AR,Arkansas,16485.032378792373,76541.53904024934,891107.1710699552,0.15079955658000074,0.6861731631726055,0.16302728024739385,569663.0,558270.0,11393.0,1139326.0,62274142.0
2014,AR,Arkansas,17009.459673589416,79353.14263821508,1031376.4995180934,0.1473907567226983,0.6738611498954451,0.1787480933818566,570631.0,559219.0,11413.0,1141263.0,65853010.045
2015,AR,Arkansas,17359.04512380776,81020.27840448015,1060953.8582539544,0.14713725849005552,0.6730033218413677,0.17985941966857674,572137.0,560695.0,11443.0,1144275.0,67499912.0
2016,AR,Arkansas,17741.471958565264,82081.273969284,1156280.0796693633,0.14625305323050244,0.6631111242399695,0.19063582252952807,568605.0,557234.0,11372.0,1137211.0,68975583.348
2017,AR,Arkansas,18381.97961727043,84960.31900335793,1422345.3995990937,0.1413029210702719,0.6400327050602765,0.2186643738694516,573721.0,562248.0,11474.0,1147443.0,74634888.282
2018,AR,Arkansas,19203.914731781253,88347.73655617416,1378629.2369198678,0.14400400833982016,0.6492430375741582,0.20675295408602154,575314.0,563809.0,11506.0,1150629.0,76722038.0
2019,AR,Arkansas,19156.595472977264,88671.59523119169,1120065.0229837024,0.14913034764676203,0.6764869069462964,0.1743827454069415,598274.0,586310.0,11965.0,1196549.0,76851514.0
2020,AR,Arkansas,18363.92682942462,88925.41620748406,1483924.6915558404,0.13583750493441998,0.6446229800880263,0.2195395149775537,624076.0,611594.0,12482.0,1248152.0,84369085.0
2021,AR,Arkansas,20142.766157917027,98464.16547463913,2419170.3053184506,0.12206213337748797,0.5847445902996132,0.29319327632289877,609206.0,597022.0,12184.0,1218412.0,100531538.0
2022,AR,Arkansas,22293.687410234717,103735.00734450233,1699385.6369896703,0.14115248617297954,0.6436627716790797,0.2151847421479407,609924.0,597726.0,12198.0,1219848.0,96331672.0
1997,AZ,Arizona,12248.458914396337,53650.63541904817,591390.6648795583,0.1597891265245591,0.6859093430766834,0.1543015303987574,983447.0,963778.06,19668.94,1966894.0,75385043.0
1998,AZ,Arizona,12995.784065071808,57484.99321728927,661250.8522129987,0.15741762191779,0.6823880625637686,0.1601943155184413,1018523.0,998152.54,20370.46,2037046.0,84085281.0
