date,year,state,income
1986-12-31T00:00:00.000000,1986,PA,61060.0
1986-12-31T00:00:00.000000,1986,RI,68070.0
1986-12-31T00:00:00.000000,1986,SC,56340.0
1986-12-31T00:00:00.000000,1986,SD,51030.0
1986-12-31T00:00:00.000000,1986,TN,46820.0
1986-12-31T00:00:00.000000,1986,TX,61970.0
1986-12-31T00:00:00.000000,1986,UT,67400.0
1986-12-31T00:00:00.000000,1986,VT,63090.0
1986-12-31T00:00:00.000000,1986,VA,76210.0
1986-12-31T00:00:00.000000,1986,WA,68940.0
1986-12-31T00:00:00.000000,1986,WV,42230.0
1986-12-31T00:00:00.000000,1986,WI,67790.0
1986-12-31T00:00:00.000000,1986,WY,60420.0
1987-12-31T00:00:00.000000,1987,AL,48960.0
1987-12-31T00:00:00.000000,1987,AK,82440.0
1987-12-31T00:00:00.000000,1987,AZ,66360.0
1987-12-31T00:00:00.000000,1987,AR,46710.0
1987-12-31T00:00:00.000000,1987,CA,74790.0
1987-12-31T00:00:00.000000,1987,CO,65680.0
1987-12-31T00:00:00.000000,1987,CT,81520.0
1987-12-31T00:00:00.000000,1987,DE,72550.0
1987-12-31T00:00:00.000000,1987,District of Columbia,68110.0
1987-12-31T00:00:00.000000,1987,FL,60750.0
1987-12-31T00:00:00.000000,1987,GA,66270.0
1987-12-31T00:00:00.000000,1987,HI,86880.0
1987-12-31T00:00:00.000000,1987,ID,51490.0
1987-12-31T00:00:00.000000,1987,IL,67190.0
1987-12-31T00:00:00.000000,1987,IN,55870.0
1987-12-31T00:00:00.000000,1987,IA,55050.0
1987-12-31T00:00:00.000000,1987,KS,63470.0
1987-12-31T00:00:00.000000,1987,KY,51290.0
1987-12-31T00:00:00.000000,1987,LA,52960.0
1987-12-31T00:00:00.000000,1987,ME,58550.0
1987-12-31T00:00:00.000000,1987,MD,86750.0
1987-12-31T00:00:00.000000,1987,MA,79980.0
1987-12-31T00:00:00.000000,1987,MI,68720.0
1987-12-31T00:00:00.000000,1987,MN,69670.0
1987-12-31T00:00:00.000000,1987,MS,45930.0
1987-12-31T00:00:00.000000,1987,MO,58840.0
1987-12-31T00:00:00.000000,1987,MT,50790.0
1987-12-31T00:00:00.000000,1987,NE,57720.0
1987-12-31T00:00:00.000000,1987,NV,66680.0
1987-12-31T00:00:00.000000,1987,NH,80220.0
1987-12-31T00:00:00.000000,1987,NJ,84940.0
1987-12-31T00:00:00.000000,1987,NM,51500.0
1987-12-31T00:00:00.000000,1987,NY,65450.0
1987-12-31T00:00:00.000000,1987,NC,56460.0
1987-12-31T00:00:00.000000,1987,ND,56010.0
1987-12-31T00:00:00.000000,1987,OH,63940.0
1987-12-31T00:00:00.000000,1987,OK,53810.0
1987-12-31T00:00:00.000000,1987,OR,62110.0
1987-12-31T00:00:00.000000,1987,PA,63070.0
1987-12-31T00:00:00.000000,1987,RI,70190.0
1987-12-31T00:00:00.000000,1987,SC,62140.0
1987-12-31T00:00:00.000000,1987,SD,52470.0
1987-12-31T00:00:00.000000,1987,TN,52540.0
1987-12-31T00:00:00.000000,1987,TX,61330.0
1987-12-31T00:00:00.000000,1987,UT,65810.0
1987-12-31T00:00:00.000000,1987,VT,63050.0
1987-12-31T00:00:00.000000,1987,VA,74410.0
1987-12-31T00:00:00.000000,1987,WA,67770.0
1987-12-31T00:00:00.000000,1987,WV,42690.0
1987-12-31T00:00:00.000000,1987,WI,65420.0
1987-12-31T00:00:00.000000,1987,WY,68450.0
1988-12-31T00:00:00.000000,1988,AL,47720.0
1988-12-31T00:00:00.000000,1988,AK,79190.0
1988-12-31T00:00:00.000000,1988,AZ,63240.0
1988-12-31T00:00:00.000000,1988,AR,48260.0
1988-12-31T00:00:00.000000,1988,CA,72460.0
1988-12-31T00:00:00.000000,1988,CO,62710.0
1988-12-31T00:00:00.000000,1988,CT,86630.0
1988-12-31T00:00:00.000000,1988,DE,72980.0
1988-12-31T00:00:00.000000,1988,District of Columbia,63970.0
1988-12-31T00:00:00.000000,1988,FL,60780.0
1988-12-31T00:00:00.000000,1988,GA,63550.0
1988-12-31T00:00:00.000000,1988,HI,79000.0
1988-12-31T00:00:00.000000,1988,ID,56100.0
1988-12-31T00:00:00.000000,1988,IL,70630.0
1988-12-31T00:00:00.000000,1988,IN,62900.0
1988-12-31T00:00:00.000000,1988,IA,58150.0
1988-12-31T00:00:00.000000,1988,KS,61160.0
1988-12-31T00:00:00.000000,1988,KY,47620.0
1988-12-31T00:00:00.000000,1988,LA,49040.0
1988-12-31T00:00:00.000000,1988,ME,63160.0
1988-12-31T00:00:00.000000,1988,MD,87440.0
1988-12-31T00:00:00.000000,1988,MA,79460.0
1988-12-31T00:00:00.000000,1988,MI,70510.0
1988-12-31T00:00:00.000000,1988,MN,69590.0
1988-12-31T00:00:00.000000,1988,MS,43460.0
1988-12-31T00:00:00.000000,1988,MO,56080.0
1988-12-31T00:00:00.000000,1988,MT,53180.0
1988-12-31T00:00:00.000000,1988,NE,60190.0
1988-12-31T00:00:00.000000,1988,NV,66940.0
1988-12-31T00:00:00.000000,1988,NH,82830.0
1988-12-31T00:00:00.000000,1988,NJ,86810.0
1988-12-31T00:00:00.000000,1988,NM,46160.0
1988-12-31T00:00:00.000000,1988,NY,69170.0
1988-12-31T00:00:00.000000,1988,NC,58410.0
1988-12-31T00:00:00.000000,1988,ND,57640.0
1988-12-31T00:00:00.000000,1988,OH,66360.0
1988-12-31T00:00:00.000000,1988,OK,56620.0
1988-12-31T00:00:00.000000,1988,OR,66380.0
1988-12-31T00:00:00.000000,1988,PA,63980.0
1988-12-31T00:00:00.000000,1988,RI,71390.0
1988-12-31T00:00:00.000000,1988,SC,61080.0
1988-12-31T00:00:00.000000,1988,SD,53330.0
1988-12-31T00:00:00.000000,1988,TN,49890.0
1988-12-31T00:00:00.000000,1988,TX,59720.0
1988-12-31T00:00:00.000000,1988,UT,62950.0
1988-12-31T00:00:00.000000,1988,VT,69350.0
1988-12-31T00:00:00.000000,1988,VA,78100.0
1988-12-31T00:00:00.000000,1988,WA,77340.0
1988-12-31T00:00:00.000000,1988,WV,46300.0
1988-12-31T00:00:00.000000,1988,WI,70750.0
1988-12-31T00:00:00.000000,1988,WY,63200.0
1989-12-31T00:00:00.000000,1989,AL,48780.0
1989-12-31T00:00:00.000000,1989,AK,82520.0
1989-12-31T00:00:00.000000,1989,AZ,65430.0
1989-12-31T00:00:00.000000,1989,AR,49120.0
1989-12-31T00:00:00.000000,1989,CA,75650.0
1989-12-31T00:00:00.000000,1989,CO,61430.0
1989-12-31T00:00:00.000000,1989,CT,96990.0
1989-12-31T00:00:00.000000,1989,DE,73490.0
1989-12-31T00:00:00.000000,1989,District of Columbia,61310.0
1989-12-31T00:00:00.000000,1989,FL,59780.0
1989-12-31T00:00:00.000000,1989,GA,63120.0
