country,year,mobility,inequality_controlled,growth_controlled
Europe,1983,0.8724025601933076,0.7638814787456069,0.8166745752447468
Europe,1984,0.868007111607825,0.7601583869984493,0.8152806894125625
Europe,1985,0.8667805994479891,0.7604337879380381,0.8149069698207899
Europe,1986,0.8686096510398297,0.7627162990298698,0.8145788260667791
Europe,1987,0.8548597303968952,0.756088628310127,0.8056651194451808
Europe,1988,0.8542878420009601,0.7567987000391865,0.8046320202199141
Europe,1989,0.829545303648389,0.7542724735354994,0.7845287621279097
Europe,1990,0.7994210660298098,0.7307709280024263,0.7656006544056048
Europe,1991,0.7772959833521272,0.71595574781661,0.7596489699692395
Europe,1992,0.7688677735705041,0.7095251499816113,0.7591812794057419
Europe,1993,0.7556839110689975,0.700976579835265,0.7653170057645312
Europe,1994,0.7474472212350926,0.6991140750469212,0.7599580744550384
Europe,1995,0.7484687513273746,0.6996056509695028,0.7603094918095253
Europe,1996,0.7426601309076694,0.7019241059538981,0.7523728251621308
Europe,1997,0.7366639942996543,0.704196084044819,0.7442924067804468
Europe,1998,0.7312413567916495,0.7035718886494365,0.7392341645992889
Europe,1999,0.7085191993263482,0.698336515854222,0.7221833360388416
Europe,2000,0.6988678968812917,0.6949511218230534,0.7151898830824996
Europe,2001,0.70920238208606,0.6936458041547656,0.7278119970825375
Europe,2002,0.6967732739882586,0.6836913511820127,0.7263319275227827
Europe,2003,0.6816172952941052,0.6732894228778016,0.7224537064384199
Europe,2004,0.6777709542563004,0.6805171236566746,0.7121313591950452
Europe,2005,0.6769597235296517,0.6913734326415738,0.7016312283324613
Europe,2006,0.6883158826115978,0.6928058102809503,0.71102481908277
Europe,2007,0.684227145984484,0.6953657192617793,0.7029969163812568
Europe,2008,0.6773673267991932,0.6873626235064556,0.7064182843978631
Europe,2009,0.6476862402201008,0.6548507566408993,0.7177476013839638
Europe,2010,0.6550395569920213,0.6573677893208903,0.7111632023353538
Europe,2011,0.6462685733624287,0.6585368108436227,0.6938236315282932
Europe,2012,0.614010153252341,0.6381459727727953,0.6656935798520461
Europe,2013,0.6065209682385581,0.6341707343419901,0.661509765430147
Europe,2014,0.5855459484210068,0.6325625545008818,0.6481068196333496
Finland,1980,0.9150127360122976,0.8385561481507444,0.8509696882024171
Finland,1981,0.9087375251155208,0.820404625600816,0.8608533341202699
Finland,1982,0.9162500045284304,0.8204574362833832,0.8713454738071567
Finland,1983,0.9216681231611472,0.8269112978607636,0.8728096901585154
Finland,1984,0.899648462541526,0.8139588535108199,0.8577724579447532
Finland,1985,0.898998565145714,0.8106621639641228,0.8598804623155032
Finland,1986,0.903712507473044,0.8128004772699766,0.8641871580126783
Finland,1987,0.8768554460593143,0.8095325647763099,0.8358840035167605
Finland,1988,0.8885924099361315,0.8223966952257622,0.8396766732817447
Finland,1989,0.8906639852761014,0.8183510050401869,0.845833488688293
Finland,1990,,,
Finland,1991,,,
Finland,1992,,,
Finland,1993,0.7780283576918694,0.7048950221591903,0.8231084314633026
Finland,1994,0.787476298343186,0.7197332518145751,0.8212472278513132
Finland,1995,0.7775348309054342,0.7215047641758274,0.8102958934213694
Finland,1996,0.7890310149193775,0.7289652165129262,0.8150266919478435
Finland,1997,0.7807126543387382,0.7438799341651777,0.7941015804023843
Finland,1998,0.7631292207492062,0.7467927930446591,0.7742894819168533
Finland,1999,0.6918185857897728,0.7324681861802814,0.7185784311889685
Finland,2000,0.696194693087679,0.7242998961198035,0.7280179554520232
Finland,2001,0.7185278444928518,0.7296356818709897,0.7459951961235731
