"","year","value"
"937",1968,9487.5
"938",1969,10205.5
"939",1970,11820.5
"940",1971,11364.7
"941",1972,12017.8
"942",1973,12423.8
"943",1974,13018.9
"944",1975,14879
"945",1976,13282.3
"946",1977,14176.9
"947",1978,14738.8
"948",1979,17284.8
"949",1980,16621.5
"950",1981,16580.9
"951",1982,16711.6
"952",1983,16498.9
"953",1984,16743.9
"954",1985,16619.3
"955",1986,16780.9
"956",1987,17072
"957",1988,17935.9
"958",1989,17853.7
"959",1990,18136.8
"960",1991,18385.4
"961",1992,18523
"962",1993,18036.4
"963",1994,18179
"964",1995,18536.5
"965",1996,18467.9
"966",1997,18783
"967",1998,19080.3
"968",1999,19918.9
"969",2000,20474.7
"970",1950,5899.3
"971",1951,6041.8
"972",1952,6134.4
"973",1953,6367.9
"974",1954,6611.1
"975",1955,6838.9
"976",1956,7141.6
"977",1957,7409.7
"978",1958,7590.5
"979",1959,7452.2
"980",1960,8194.6
"981",1961,8411.5
"982",1962,8934.5
"983",1963,9246.7
"984",1964,9784.8
"985",1965,10006.3
"986",1966,10608.8
"987",1967,10950.8
"988",1968,11598.3
"989",1969,12469.5
"990",1970,14841.2
"991",1971,13934.3
"992",1972,14569
"993",1973,15362.3
"994",1974,16008.2
"995",1975,18000.2
"996",1976,16558.6
"997",1977,17350.8
"998",1978,17952.1
"999",1979,20809.8
"1000",1980,20699.7
"1001",1981,20675.8
"1002",1982,20913.7
"1003",1983,20759.8
"1004",1984,20505.3
"1005",1985,20901
"1006",1986,20982.7
"1007",1987,21211.3
"1008",1988,21687
"1009",1989,22163
"1010",1990,22296.5
"1011",1991,22837.9
"1012",1992,22522
"1013",1993,22287.6
"1014",1994,22348.9
"1015",1995,22716.4
"1016",1996,22946.5
"1017",1997,23268.5
"1018",1998,23793
"1019",1999,24679.6
"1020",2000,25160
"1021",1950,7599.1
"1022",1951,7640.1
"1023",1952,7480.8
"1024",1953,7737.4
"1025",1954,8010.3
"1026",1955,8283.8
"1027",1956,8709.7
"1028",1957,9060.8
"1029",1958,9138
"1030",1959,8972.7
"1031",1960,9921.1
"1032",1961,10113.1
"1033",1962,10823.1
"1034",1963,11043.4
"1035",1964,11689.2
"1036",1965,11879.4
"1037",1966,12640.9
"1038",1967,13087.6
"1039",1968,14117.8
"1040",1969,15676.8
"1041",1970,17842.2
"1042",1971,17436.3
"1043",1972,17909.7
"1044",1973,18579.1
"1045",1974,19266.2
"1046",1975,21229.6
"1047",1976,19150.5
"1048",1977,20753.4
"1049",1978,21836.6
"1050",1979,24314.9
"1051",1980,23931.5
"1052",1981,23937.3
"1053",1982,24225.2
"1054",1983,24066.7
"1055",1984,24258.3
"1056",1985,24205.5
"1057",1986,24286.6
"1058",1987,24548.3
"1059",1988,25363.8
"1060",1989,25819.4
"1061",1990,26164
"1062",1991,26978.2
"1063",1992,26551.6
"1064",1993,26466.1
"1065",1994,26557.9
"1066",1995,27141.5
"1067",1996,27213.6
"1068",1997,27786.4
"1069",1998,28302.9
"1070",1999,29296.1
"1071",2000,29747.2
"1072",1950,9674.7
"1073",1951,9442.3
"1074",1952,9200.9
"1075",1953,9481.5
"1076",1954,9786.9
"1077",1955,10098.3
"1078",1956,10687.7
"1079",1957,11087.6
"1080",1958,11071.4
"1081",1959,10844.1
"1082",1960,11858.9
"1083",1961,12042.2
"1084",1962,13143.6
"1085",1963,13345.5
"1086",1964,13892.7
"1087",1965,14112.7
"1088",1966,15151.2
"1089",1967,15842.5
"1090",1968,17243.1
"1091",1969,19162
"1092",1970,21282.9
"1093",1971,21270
"1094",1972,21804.7
"1095",1973,22233.4
"1096",1974,22981.3
"1097",1975,24744.1
"1098",1976,22508.4
"1099",1977,24756.6
"1100",1978,25538.5
"1101",1979,28323
"1102",1980,28128.5
"1103",1981,28123.2
"1104",1982,28465.2
"1105",1983,28315.3
"1106",1984,28222.7
"1107",1985,28461.1
"1108",1986,28499.7
"1109",1987,28718.5
"1110",1988,29517.1
"1111",1989,30063.8
"1112",1990,30366.9
"1113",1991,30592
"1114",1992,30969
"1115",1993,31380.6
"1116",1994,31243.1
"1117",1995,31796.3
"1118",1996,31827.8
"1119",1997,32554.4
"1120",1998,33069.8
"1121",1999,34211.9
"1122",2000,34817
"1123",1950,10810.4
"1124",1951,10735.2
"1125",1952,11250.1
"1126",1953,11596.8
"1127",1954,12000.5
"1128",1955,12355.4
"1129",1956,12974.6
"1130",1957,13323.3
"1131",1958,13656.5
"1132",1959,13318.4
"1133",1960,14317.2
"1134",1961,14641.4
"1135",1962,16112.3
"1136",1963,16914.9
"1137",1964,17130.9
"1138",1965,17755.6
"1139",1966,19123.2
"1140",1967,20106
"1141",1968,21210.1
"1142",1969,22370.8
"1143",1970,25246.9
"1144",1971,24664.5
"1145",1972,25865.1
"1146",1973,26986.4
"1147",1974,27906.8
"1148",1975,28973.9
"1149",1976,28523.7
"1150",1977,29472.2
"1151",1978,30080.6
"1152",1979,33039.9
"1153",1980,32627.5
"1154",1981,32569.6
"1155",1982,32922.7
"1156",1983,32736.3
"1157",1984,32928.8
"1158",1985,32925.5
"1159",1986,32977.3
"1160",1987,33266.7
"1161",1988,33968.2
"1162",1989,35050.3
"1163",1990,35832.7
"1164",1991,35879.9
"1165",1992,36388.2
"1166",1993,36673.9
"1167",1994,36833.9
"1168",1995,37306
"1169",1996,37287
"1170",1997,38112.1
"1171",1998,38970.7
"1172",1999,40223.2
"1173",2000,41052.4
"1174",1950,12013
"1175",1951,13307.3
"1176",1952,13681
"1177",1953,14182.5
"1178",1954,14869.9
"1179",1955,15393.2
"1180",1956,15836.4
"1181",1957,16543
"1182",1958,17547.4
"1183",1959,17103
"1184",1960,18248.1
"1185",1961,19059.6
"1186",1962,20807.4
"1187",1963,22416.3
"1188",1964,23002.6
"1189",1965,24484.1
"1190",1966,26040.4
"1191",1967,26894.9
"1192",1968,27474
"1193",1969,28802.8
"1194",1970,31225.4
"1195",1971,31118.7
"1196",1972,31589.3
"1197",1973,34010.3
"1198",1974,35158.2
"1199",1975,34898.5
"1200",1976,35571
"1201",1977,35572.5
"1202",1978,36185.8
"1203",1979,39215.4
"1204",1980,38813.8
"1205",1981,38784.2
"1206",1982,39212
"1207",1983,39035.4
"1208",1984,39302
"1209",1985,39183.8
"1210",1986,39276
"1211",1987,39518.4
"1212",1988,40649.5
"1213",1989,42154.4
"1214",1990,43143.8
"1215",1991,43307.2
"1216",1992,44169.9
"1217",1993,43814.8
"1218",1994,44819.5
"1219",1995,44848.6
"1220",1996,44817
"1221",1997,45792.5
"1222",1998,46803.4
"1223",1999,48328.3
"1224",2000,49284.6
"1225",1950,17947.3
"1226",1951,18791.9
"1227",1952,18868.3
"1228",1953,19398.6
"1229",1954,20924.6
"1230",1955,22483.5
"1231",1956,23410
"1232",1957,24768.3
"1233",1958,25573.5
"1234",1959,26085.6
"1235",1960,27991.8
"1236",1961,29522.7
"1237",1962,31532.1
"1238",1963,32981.2
"1239",1964,35621.6
"1240",1965,37223.8
"1241",1966,38739.3
"1242",1967,39597.4
"1243",1968,40570.7
"1244",1969,41990.6
"1245",1970,41790
"1246",1971,45427.2
"1247",1972,46542.3
"1248",1973,48593.7
"1249",1974,50586
"1250",1975,45385.1
"1251",1976,49833.8
"1252",1977,49960.2
"1253",1978,49982.6
"1254",1979,48978.5
"1255",1980,48690
"1256",1981,48832.2
"1257",1982,49454.9
"1258",1983,49478.7
"1259",1984,50135.5
"1260",1985,50538
"1261",1986,51368.2
"1262",1987,52175.4
"1263",1988,53822.1
"1264",1989,56187.3
"1265",1990,58000.3
"1266",1991,57255.9
"1267",1992,57762.1
"1268",1993,57086.4
"1269",1994,58055.4
"1270",1995,58542.9
