country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,25,31,58,65,71,94,123,168,260,246,290,325,333,396,409,371,366,419,439,549,552,613,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,519.1311646,571.1116333,557.902771,612.1538086,596.0717773,639.2401733,662.7189331,711.5620728,691.2073364,606.9046021,720.9244385,713.9985352,749.9437866,735.4927979,822.3922119,784.6453857,812.5109253,785.4710083,849.8334961,801.5438232,875.7009888,923.4072876,,
Australia,1636.528564,1559.821289,1763.695679,2240.746094,2760.830811,3014.104736,3194.030762,3815.336426,4107.012695,4011.932617,4975.470703,5909.149902,6071.650879,5843.173828,6130.998535,5322.971191,5453.924805,5813.61377,5857.288086,5545.910645,5958.765625,7055.368164,,
Austria,2269,2283,2498,3091,3595,3710,3883,4479,5058,4929,4801,5168,4966,5235,5394,4613,4710,4939,5337,5263,5567,6505,,
Azerbaijan,19,19,20,23,27,34,50,74,111,134,152,183,232,249,277,234,168,165,178,197,243,249,,
Burundi,5.82561302,7.70397997,6.6404686,6.02923203,9.11969662,11.43010426,14.48706532,15.68034935,15.07347488,18.82117844,25.12049484,23.81056213,20.57489777,20.8417263,18.59082222,18.2036705,19.16795921,19.77140808,19.27294159,22.95755196,27.07072449,24.26920891,,
Belgium,1849.916016,1879.93457,2084.719971,2814.880615,3312.741211,3405.88501,3545.928223,4064.876465,4653.505859,4638.438965,4531.033691,4930.141113,4704.472656,4954.924316,5080.125,4442.401367,4542.794922,4782.646973,5176.983887,5049.577148,5104.025391,5680.231445,,
Benin,14.88457298,16.79668045,17.4725647,21.76790237,25.34852219,25.97800064,27.52271461,27.74564934,29.14166451,30.67226219,30.38452339,32.9503212,34.21852112,34.83580017,33.67948914,28.41767883,29.34768677,29.22344017,34.44770432,29.37922096,30.64243507,35.12914658,,
Burkina Faso,7.36981916,7.52252769,8.51982498,11.43507481,17.09873199,17.50115776,20.64653969,27.04532623,28.90426254,30.68659401,32.8663559,33.8243866,33.78236771,42.40937042,38.37065506,32.44025803,39.64500427,43.07155609,39.00283813,41.07073212,54.17696762,56.95098114,,
Bangladesh,8.6186285,8.41617775,9.37759209,10.3110857,11.10974789,11.61940002,12.37925339,14.41430759,15.99568462,18.20583725,21.15062714,23.28593445,23.89686203,27.40725899,30.29579544,33.53680038,39.55920792,42.27734375,44.74491119,47.66782379,50.66413116,57.93856812,,
Bulgaria,95,120,148,196,233,268,294,361,456,459,485,556,559,547,605,521,562,625,690,698,857,1040,,
Bahrain,424.9359741,438.6097107,471.5829773,553.0543823,551.8898315,576.9389038,592.3751221,688.1436768,741.8596191,841.4814453,866.3862305,917.6530151,1030.846558,1111.218262,1123.626953,1134.46167,1111.429932,1098.743286,1049.061279,1024.390503,1105.324829,1146.472778,,
"Bahamas, The",945.4403076,990.3112793,1013.735962,1053.420166,1067.91626,1140.251587,1242.348999,1334.717896,1410.821533,1396.727051,1421.590576,1418.508545,1492.449097,1532.229614,1590.949951,1558.798828,1698.390015,2076.141602,1898.81311,1898.856323,1824.875366,1961.677856,,
Bosnia and Herzegovina,106,105,119,168,222,242,282,364,460,410,406,457,444,474,492,430,449,470,528,544,591,692,,
Belarus,56,71,84,106,137,191,216,271,340,281,333,310,355,444,438,353,291,325,342,390,408,468,,
