country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Israel,1472,1515,1362,1390,1443,1512,1558,1773,2129,2036,2240,2446,2410,2681,2816,2661,2801,3094,3220,3354,3637,4339,,
Italy,1524,1587,1763,2163,2566,2678,2833,3093,3504,3338,3218,3392,3086,3149,3154,2676,2700,2810,3003,2911,3062,3350,3066,
Jamaica,194.5874023,180.5921783,174.8167267,150.1188965,183.4915619,190.9417572,186.6435547,252.1128388,283.7284241,229.1301422,256.0642395,275.5392456,262.0988159,254.8423462,257.846344,285.59729,286.3452148,324.2245178,333.8786926,343.0619202,324.4832153,372.4513855,,
Jordan,161.2351074,171.8250732,175.384613,172.2494659,186.106369,196.4689789,199.648819,219.4053192,289.9857788,333.8076782,319.841095,338.3460999,342.9404297,320.8673096,306.806427,303.2345276,279.2980652,289.5798035,289.5386047,294.18927,284.5343933,299.0723572,,
Japan,2756,2492,2416,2654,2888,2895,2766,2783,3225,3699,4074,5107,5235,4358,4122,3755,4200,4148,4288,4463,4436,4347,,
Kazakhstan,50,50,58,74,111,142,174,177,251,246,244,297,369,363,374,314,260,278,273,270,338,403,,
Kenya,21.40411377,22.14061928,22.33303261,25.71190262,27.75096512,31.13827515,41.07886505,50.38684845,55.4166069,55.28591537,58.93074799,57.18780136,64.72195435,67.89151001,73.19489288,71.3065033,74.26567078,66.80448151,75.6592865,86.06783295,86.67868805,94.67254639,,
Kyrgyz Republic,12,13,15,22,27,35,45,50,63,60,61,79,100,105,95,81,73,78,67,63,64,73,,
Cambodia,19.78130531,22.66413116,24.67282104,25.30601883,29.03012466,32.52131653,33.02656555,30.92131042,49.00638199,55.72327423,54.09758377,66.05435944,69.01600647,72.11994934,73.5883255,72.51950836,78.35865784,79.16844177,93.01556396,114.4853439,112.2142258,122.4164581,,
Kiribati,65,86,93,102,132,132,127,148,191,169,134,143,147,155,156,118,158,179,208,177,239,262,,
St. Kitts and Nevis,444.5689087,438.0617371,462.6293945,480.2297974,488.8283691,553.5333252,684.9520264,703.309021,875.1099243,865.8463745,856.6733398,907.031311,867.3771362,924.614624,947.6332398,1026.508057,1144.535645,1167.661011,1103.173706,1204.340942,1050.643677,1114.374268,,
"Korea, Rep.",475.0293274,500.0801697,531.8900757,633.0939331,708.5794067,887.6956177,1062.198364,1204.763794,1137.209106,1099.13916,1363.560913,1507.556641,1553.328247,1682.763916,1880.442017,1894.347534,2008.098267,2220.564209,2501.139648,2605.993408,2648.224121,3260.44873,3123.947021,
Kuwait,429.5625305,558.3242798,581.9777222,628.847168,650.5830689,727.7044067,782.6422119,881.1036987,1069.662598,1025.880737,1050.421265,1143.137939,1196.207153,1188.282837,1260.875244,1235.618896,1278.632446,1361.482788,1660.98645,1643.569702,1542.322632,1860.783691,,
Latin America & Caribbean (excluding high income),275.8050076,268.9107828,230.4088334,241.1751751,273.186216,331.1814287,386.4059223,462.1749016,531.0035395,525.3649676,624.1785928,709.8141842,705.235292,734.514657,739.6628917,655.5739284,623.1071466,703.4977036,662.9324083,647.275087,583.6295756,636.6847626,,
Lao PDR,14.10407162,14.47130299,12.91643047,17.61871719,16.27066612,17.37983894,19.28023911,24.81284904,26.80659485,35.78236008,34.58347702,27.16216469,32.51623917,43.56784058,45.61304092,52.15144348,54.51382828,61.60005188,57.35622025,67.81835938,52.15844727,68.87698364,,
Lebanon,426.5579224,417.7819214,393.2247925,375.0754089,369.9836426,349.5018616,404.0964966,441.8590393,465.74646,501.0127564,572.420166,647.1702271,595.3667603,583.4765015,576.6546021,578.645813,647.5651856,677.3743897,744.6105957,782.2052002,522.420105,307.1348572,,
Liberia,8.5820322,6.90986061,7.02600765,6.16011524,18.20792198,20.64465714,19.4780159,16.01202202,26.55882072,52.30115128,50.63946533,54.34541321,50.35652542,48.74785614,59.98974228,70.18363953,68.4992981,72.50897217,69.10813904,52.02645493,101.2913055,112.2704468,,
Libya,254.3153076,261.9629517,185.1968536,192.3547516,202.5708923,210.6266785,231.3844299,269.9493408,312.4657288,342.5540161,380.9290161,312.8485413,,,,,,,,,,,,
St. Lucia,284.2585754,284.4153137,299.5059509,317.1377869,309.4220886,333.5027466,390.3429871,440.2225952,430.8215637,432.548584,438.1661987,462.8668213,454.5605774,481.9177246,462.7443848,464.5744324,470.3751831,492.8301086,484.1549988,491.4067993,574.3797607,584.6704712,,
Latin America & Caribbean,281.6045033,273.9888547,235.9282942,246.805515,280.1294799,338.1564375,393.7362975,469.6854619,539.4840728,534.8936412,634.7835317,721.8045689,721.2754553,753.9642099,758.5521875,678.1180099,649.5770871,733.9437429,673.9359763,656.4413834,597.0761989,655.18958,,
Least developed countries: UN classification,11.66125124,11.67447128,12.72003338,14.63466237,17.1829653,19.44111271,22.85239716,27.00219339,31.67505107,32.56611002,33.47155282,36.88955084,38.61256646,42.4006702,44.41503159,43.23250029,42.70263937,42.99093032,41.8992929,42.91807463,43.79911481,46.91973577,,
Low income,14.31566187,12.95166619,13.97568289,15.77572096,18.30310736,21.11693088,24.94499007,30.13479911,34.24444138,35.17680388,35.67346275,36.54974645,36.95363735,39.34464981,41.00714518,38.97998727,36.9052201,34.74200501,32.42348897,33.2627509,35.18100757,36.29941298,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,44,41,43,42,51,57,65,73,92,99,106,116,111,135,135,147,149,146,159,160,158,166,,
Lower middle income,22.53727451,23.64918614,23.70516877,26.57646809,29.7725721,33.46240368,37.69015599,44.10330173,49.50771264,49.93145469,56.31375062,61.53127521,65.04609004,71.11229831,73.38724923,73.59275781,73.23240778,71.22892337,72.87997864,76.61173055,78.75380417,90.11161329,,
Low & middle income,59.18394603,58.76814165,57.13949577,63.95026489,73.39579158,85.67259639,98.06780003,116.7520286,138.001875,144.6380172,166.8403747,193.1204383,204.970526,220.009909,227.2535829,222.0941019,221.0082475,237.5230364,249.1796662,255.7076826,259.4653544,293.1093537,,
Lesotho,23.77390099,28.24092102,23.1813736,31.89407539,40.89277649,41.15412903,48.88100433,64.80230713,68.08209991,79.68589783,87.4557724,117.3472366,124.8553085,130.4420776,120.4721375,104.4047089,90.88587189,115.2077866,130.5711365,130.4407349,96.7264328,114.7088165,,
Late-demographic dividend,88.39274672,89.25760428,94.92949215,105.9935399,124.5625444,149.2660729,176.4402257,217.3062055,274.5181145,285.6279274,325.4806388,385.7269031,414.0234142,453.4742111,475.9765973,448.6128553,452.5483377,507.3669918,551.5544684,577.5254857,600.4606584,687.6467302,,
Lithuania,217,219,254,339,367,439,536,704,937,865,805,925,897,959,1021,920,989,1083,1249,1370,1520,1859,1868,
Luxembourg,2901,3109,3601,4607,5610,5818,6071,6671,7579,7671,7460,7175,6029,6357,6547,5422,5475,5713,6227,6222,6786,7636,6956,
Latvia,182,205,237,281,393,441,552,775,914,745,689,765,746,807,857,776,875,933,1101,1183,1313,1898,,
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,
Morocco,54.38904953,56.32826996,63.35457993,77.51076508,90.9294281,96.96191406,110.0026016,131.6695862,153.1000519,165.4444428,168.3771057,179.0485382,172.0593872,179.734848,188.4002075,162.5098114,161.8278351,166.4662323,175.2760315,177.245575,193.102356,221.1148529,,
Monaco,2967.42627,3048.089844,3363.354492,4830.655762,5683.699219,5888.787598,6149.097168,7028.4375,8300.90625,8147.868164,8013.045898,8302.916992,7871.212402,8460.787109,8682.369141,7347.916992,7189.657715,7219.591797,7848.356445,7730.603516,7812.287598,8634.259766,,
Moldova,21,25,34,38,65,79,100,135,186,209,198,215,224,232,231,186,171,244,276,284,307,410,,
Madagascar,11.3951807,13.39314079,15.31476879,17.98666191,14.57165813,16.26181221,16.76423645,19.71751213,21.33732986,19.96823883,21.57974052,23.37224197,19.71853828,19.75903702,23.07670021,22.81040573,24.77560616,24.17928314,21.67276382,15.88729572,17.21605492,17.64008904,,
Maldives,219,229,249,240,304,334,403,477,774,678,608,587,646,671,702,823,993,933,805,852,826,1039,,
Middle East & North Africa,139.348287,146.3859166,145.7459956,142.7826591,157.8898629,176.2992351,196.1126311,229.1753846,272.4978863,295.5206352,320.2858686,366.433436,386.6740689,404.6948867,425.2431296,411.4893095,458.3283479,463.8310846,484.1802127,471.5621164,479.3488806,524.9635755,,
Mexico,321.801239,366.9807129,388.0279236,414.0400085,448.0602112,485.6738892,516.0639648,560.4942627,576.7153931,496.8142395,539.2655029,570.7304688,587.8284302,631.213501,615.1031494,558.1651001,492.8739929,514.8897095,530.6478272,552.7042236,538.5175171,610.6453247,,
Marshall Islands,370.7370911,332.2007752,311.0274353,306.8759155,381.622345,509.7106628,532.6616211,445.5842896,429.4437256,406.9477234,417.3013611,424.9150696,452.0671387,485.2216797,476.7737427,571.2527466,654.5699463,646.2920532,736.7741699,782.2356567,707.4797974,766.9440918,,
Middle income,62.52315109,62.22779786,60.65047651,67.91340261,78.00074588,91.1582389,104.3937333,124.3794392,147.2941039,154.6076851,178.954481,207.8214416,221.0102612,236.7508968,244.8110803,239.6566849,237.9099544,256.8688004,270.2366723,277.723143,282.0925782,319.5753655,,
North Macedonia,164,151,174,215,232,231,244,263,311,294,302,326,307,346,339,303,323,345,387,421,453,560,,
Mali,14.40365124,13.53196239,16.34092712,19.29068756,22.3169117,24.62482452,27.65656662,30.42856026,34.10325623,35.57579422,32.20446396,32.52751923,28.26848984,30.89883041,36.67969894,29.7465477,28.3053112,29.23488998,31.96352005,32.17400742,28.85294724,40.1202507,,
Malta,647,686,831,1074,1224,1380,1474,1596,1751,1677,1734,1960,1899,2121,2456,2243,2321,2552,2754,2944,3135,3642,,
Myanmar,4,5,7,7,7,8,8,10,15,19,20,27,37,37,54,63,59,59,60,62,72,65,,
Middle East & North Africa (excluding high income),78.95148664,83.61952529,84.65152728,81.6827514,93.85900676,105.5280624,118.314862,143.8201373,176.0919186,196.5277207,218.5063303,247.7353561,256.0950087,245.6654392,245.2988208,235.6497687,261.4230349,255.3711763,267.4938733,247.460043,233.9221451,257.1519952,,
Montenegro,,,,,,,,,,,,572,536,596,579,577,596,612,727,732,866,985,,
Mongolia,26.41833878,25.91971779,29.04701042,26.00562286,32.62977219,37.02750015,49.59525681,66.23542023,97.28814697,76.66015625,99.48032379,136.0482483,169.8409576,180.8419952,177.3183441,165.8491516,169.039856,160.9210815,188.8626556,197.5519562,188.5712433,315.5798035,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,6.96425152,8.52990627,9.95218277,11.15465164,14.22916508,18.49229622,18.09505653,19.3034668,24.26328468,27.63411713,26.17583847,30.28253746,35.03115845,41.17826843,43.08488846,39.91206741,31.38208961,36.26471329,40.8117218,40.41284943,34.37060928,44.52215576,,
Mauritania,22.3067379,22.58142662,25.20564651,28.68665123,30.64061928,33.17791367,34.37842178,39.64344025,48.52267838,44.13393021,43.3949852,47.4840889,49.02023697,55.34606934,59.37288666,57.40904617,48.89683914,54.19649506,55.62037659,60.7460022,63.2988472,89.28845215,,
Mauritius,115.9647522,116.4113083,132.3985138,157.6535187,184.6575165,192.0113678,203.0832825,229.0391083,312.6282654,301.4615173,357.0010986,385.7719116,387.2303772,440.102356,544.3952637,515.3724365,539.5122681,594.6273193,641.5615234,670.973999,569.434021,564.9007568,,
Malawi,8.91786003,7.48628187,11.26511002,12.41096115,16.05879211,17.35436821,21.07893753,25.1716423,32.93960953,35.80582047,34.2412796,39.60096741,32.80570221,39.87806702,35.64556885,35.27587891,34.32816696,37.93450165,36.97562408,41.78248596,42.5414238,46.55551147,,
Malaysia,111.9489365,114.839119,121.4125824,141.8682098,153.3985138,161.6295776,199.8557739,229.7582092,262.7799988,244.8389282,285.0263977,343.198761,371.7933044,382.191864,415.6535339,370.7195435,353.6402893,370.7184448,416.3200073,427.4628601,414.963501,487.0088196,,
North America,4285.459344,4603.832079,4994.339693,5398.147429,5739.826569,6097.953695,6484.907614,6845.951895,7065.953945,7283.252689,7560.76013,7763.640722,8001.971828,8138.932141,8468.273667,8791.052761,9104.027874,9399.397409,9750.76703,10088.65177,11131.73329,11439.89894,11818.20533,
Namibia,200.0525818,185.717926,173.6911469,257.4116211,347.8963623,375.3916016,410.3216248,465.0815735,413.3742981,386.2019653,522.1591187,569.1429443,557.5895996,495.1951294,466.1987915,495.6297913,430.2160645,475.5820313,472.9901428,432.1457825,378.4246826,456.4360046,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,
Niger,8.95671749,9.59174156,10.75085354,12.44939899,13.95743465,18.53794861,19.78735733,20.83684349,24.71139526,24.40502357,23.33815765,24.68768311,22.56604767,24.43749619,24.89271736,25.72568893,22.42886543,28.69141388,30.08619118,31.21994209,34.85019302,34.34204865,,
Nigeria,17.65198708,18.48871803,18.06385422,39.0772438,44.16435242,53.92662048,65.7237854,69.15039063,80.09986115,68.00685883,75.58924866,83.10647583,91.06047821,100.817009,106.1196442,96.28328705,78.23602295,72.77430725,65.70272064,69.68148041,69.76184845,83.84061432,,
Nicaragua,52.24892807,56.52495956,56.94697189,60.82196045,65.1476593,72.13689423,77.76139832,92.0919342,107.0682602,110.5292206,115.3239517,122.5347595,130.779007,137.0984192,152.6446991,161.2770081,167.3703613,177.1500092,168.4451294,161.9863434,161.1998138,198.0779266,,
Netherlands,2028,2176,2545,3244,3689,3823,4080,4696,5382,5283,5192,5562,5285,5533,5602,4677,4644,4935,5331,5341,5858,6539,,
Norway,2949,3099,3890,4633,5097,5585,5893,6896,7768,7302,7860,8900,8970,9241,9118,7566,7497,7816,8272,8007,7825,9163,8693,
Nepal,8,10,10,11,13,14,14,17,19,21,30,34,34,35,42,47,47,49,50,53,58,65,,
Nauru,454.4360962,341.1864929,291.1162109,266.0600586,210.4930725,320.3678894,354.2486267,572.7260132,791.199707,563.1657715,614.1340942,659.4338989,859.048645,818.1156006,746.3569946,959.4884644,957.2859497,1092.876343,1175.686768,1158.770874,1318.165039,1529.519165,,
New Zealand,1054.912109,1054.328003,1250.928955,1611.790405,1983.187012,2296.607666,2305.146484,2706.799561,2851.119141,2713.814209,3233.778564,3656.730713,3856.173096,4014.974609,4192.743652,3600.956299,3739.401367,3903.68042,3957.86084,4085.788086,4223.22168,4906.070801,,
OECD members,2147.737901,2220.781984,2401.038896,2725.422306,2997.408132,3161.300107,3334.77691,3620.46504,3877.962607,3921.853384,4051.653268,4346.915823,4353.820728,4373.573075,4492.442181,4328.447291,4456.006545,4602.846256,4819.001196,4907.987326,5311.092895,5653.774405,,
Oman,254.9428406,252.546814,266.526001,282.2885742,298.4816284,319.7104492,335.8521118,391.7960815,462.2916565,507.6517639,558.3665772,540.3850708,562.9465942,590.3643799,725.4089966,765.7853394,713.3201904,703.9379883,639.3248901,728.2548218,855.2967529,852.6234131,,
Other small states,321.7094985,322.8583023,368.2430716,428.7118137,493.2856022,545.3197941,574.0637816,673.9184959,749.1949757,705.9884876,711.6832838,751.1362,735.0216185,781.7702457,818.1830887,762.1238186,799.6775089,863.8486064,927.9384474,938.6776952,990.2381072,1153.16038,,
Pakistan,15.1975832,13.20521545,14.74764633,14.1153574,15.29145527,19.3823719,24.65777779,26.51110458,24.8097496,23.66425133,24.20984077,25.67299652,26.2887764,28.99807739,33.04523849,35.0121994,37.59899521,43.41279984,41.40914154,37.22461319,38.17708206,43.09069443,,
Panama,301.5256348,297.5767212,309.4125366,304.239563,345.2409058,323.750824,371.3395081,472.8953857,507.5638428,551.5872803,608.2467041,665.8464966,725.8637695,806.5855103,920.0765991,982.7939453,1057.406616,1127.688965,1228.073364,1340.137817,1358.090698,1415.244995,,
Peru,83.4623642,89.19979858,97.49507904,97.19953156,105.008255,123.0508881,135.8708801,158.1654358,190.8487701,208.3919373,240.2576141,262.9674072,307.3185425,320.3164978,331.7809143,310.266449,311.4351807,333.1157532,363.4248352,366.5649109,388.4873047,412.2085571,,
Philippines,33,28,27,32,34,47,55,65,77,79,91,98,112,122,109,116,120,122,126,142,166,203,178,
Palau,656.8114624,625.2060547,658.4937134,698.8324585,827.0947876,871.5688477,931.168396,992.5022583,979.430481,1007.31189,1153.060669,1161.530396,1377.391357,1520.320557,1675.826172,1809.500122,1977.638306,2036.630859,2072.97583,2102.074707,2058.661621,2045.297485,,
Papua New Guinea,18.93960762,18.29377747,20.66277122,22.10498047,25.87848282,27.65415382,30.21553993,33.38858795,34.91187286,36.77980042,39.60604477,52.84900284,70.75683594,77.2843399,89.70458221,45.50782776,54.36591339,55.63466263,59.45320129,60.31322479,56.30739212,61.41452789,,
Poland,238,283,316,339,392,466,524,661,893,760,809,866,815,878,911,804,816,910,979,1014,1026,1159,1225,
Pre-demographic dividend,17.24104738,17.23168025,18.14042824,25.45898107,30.47386118,34.79065495,41.33664383,47.9034899,56.42415159,53.12348398,54.74132559,59.88207118,62.77703599,69.28513281,70.66867726,63.53291807,61.0738751,58.85117042,57.55530577,59.19344158,59.64035662,65.26499991,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,,,,,
Portugal,995,1016,1139,1443,1724,1814,1858,2113,2392,2347,2259,2256,1980,2031,2060,1791,1875,1998,2216,2222,2346,2747,2586,
Paraguay,104.0227356,91.42378998,64.76425171,70.50261688,87.64266968,94.68041992,121.7975082,160.3656006,219.6679535,216.5890198,257.0585632,336.1187439,367.1484985,390.2868652,439.344696,392.2241821,384.4470215,405.5336609,421.0862732,415.888794,410.887146,478.7082825,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,84.30704458,81.19338908,89.2282147,95.04084836,117.8105584,139.8254392,138.4009539,145.8013952,148.161778,143.4725092,148.4211338,162.9919865,173.0609805,178.6178867,187.0919618,180.514181,186.8530986,191.9426262,217.2138503,224.8001083,220.3112532,232.8565704,,
Post-demographic dividend,2474.78389,2563.830002,2779.152992,3163.590722,3481.337842,3670.957818,3875.33877,4202.258006,4498.87799,4577.098093,4730.73104,5089.946143,5107.227653,5127.301031,5282.223689,5113.653924,5282.024894,5461.667446,5735.639314,5856.560685,6369.152951,6833.289278,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,552.274231,597.9369507,667.0024414,1109.725708,1254.14209,1347.960571,1321.562744,1276.881836,1277.082397,1305.490356,1306.525513,1487.852173,1713.980347,2027.014404,2256.388672,2435.445068,2075.419189,1908.396606,1962.58374,2012.225708,1997.788208,1934.0802,,
Romania,70,79,97,144,191,255,291,415,521,449,472,427,402,495,503,442,476,555,687,739,810,963,,
Russian Federation,95,118,140,164,209,272,353,462,610,516,567,684,759,809,740,499,465,580,609,654,771,936,,
Rwanda,9.1193943,7.92787647,7.34832239,17.29731369,20.29362106,25.10174942,27.24308205,33.58434677,40.0471344,44.08419418,48.02530289,51.65081787,57.216465,47.7094574,50.62351608,48.80509567,50.70415497,48.34190369,51.54394531,51.18757629,57.91234207,60.2185936,,
South Asia,17.01183436,18.28442808,18.55635418,20.07945019,22.7484706,24.90723671,27.25269848,33.10864857,34.99475098,35.21560576,41.02874179,43.9053507,44.73497898,50.92603895,52.61255807,54.13748441,56.57378646,55.39094119,56.33127378,58.42458234,61.18916925,70.08467185,,
Saudi Arabia,370.4207459,371.9894714,356.1383972,370.9237976,391.911438,459.8913879,536.687439,560.9076538,562.8531494,646.3370361,655.1174316,826.3400269,959.8308106,1059.094238,1230.845337,1198.336304,1243.941772,1261.165283,1291.128662,1279.690796,1355.716553,1441.998779,,
Sudan,14.61430931,15.85929585,17.47236824,23.6236248,30.63433456,38.71856689,57.64347458,84.978302,85.98817444,83.10632324,76.49365234,83.55038452,79.18972778,102.3559113,93.15203094,98.24565125,93.67060852,71.14331818,35.53091431,35.51281357,23.34439278,21.58010864,,
Senegal,21.99825287,24.10787964,27.20366478,36.11049652,43.03009415,36.86376953,39.08563995,41.32680893,49.78118515,50.8613205,51.81986618,58.30465698,56.95115662,61.02893066,62.2051239,54.20389557,54.93520355,57.67406845,65.77828217,65.75260925,76.77999878,71.22032928,,
Singapore,792.4259644,689.1474609,744.0791626,833.3543701,848.5818481,892.4286499,972.1957398,1100.993164,1278.492188,1316.834961,1487.379028,1670.382202,1824.979248,2069.367432,2188.335205,2279.01709,2450.901367,2599.300049,2641.506348,2826.01001,3367.756592,3969.890869,,
Solomon Islands,47.13489151,61.4104805,77.6619339,54.08104324,65.09461212,89.11562347,87.39896393,88.28649902,74.60315704,92.104599,73.04418945,95.24793243,101.7683563,101.106247,109.27742,94.91165924,96.68874359,94.76846313,92.47520447,103.7242889,106.6113815,106.345871,,
Sierra Leone,17.18489456,18.7846756,22.93144798,21.89597321,22.70127487,26.26749039,29.28122711,30.97717667,36.24853897,37.96392822,36.55500031,47.91463089,50.08378601,81.8790741,138.2906494,114.1648254,81.37689209,45.5368042,43.07834244,46.25284195,46.01692963,43.1619873,,
El Salvador,155.1314545,161.7615204,166.1277618,170.7858276,184.8800507,223.9718475,230.5007629,238.6346588,251.8334198,255.381424,268.6670837,293.3677063,298.7254028,321.8266296,312.8674622,329.4425049,337.2749023,335.7371216,345.0518189,377.0255737,354.4869995,442.2137451,,
San Marino,,2186.570313,2214.669922,2440.293701,2868.361328,2958.655273,3132.234619,3672.22583,4235.848145,4110.07666,3695.150391,4504.630859,4353.614746,4154.929688,4161.486816,3564.852539,3656.284912,3706.970459,4012.654053,3854.095215,3842.773926,4131.941895,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,56.47926331,112.198082,173.2633972,230.0886536,274.4553223,307.5470581,371.5060425,547.2272339,671.8870239,575.262146,545.3338013,618.8942261,559.9053955,627.53302,608.8585815,491.25177,486.4294434,515.8458862,617.086792,641.0296631,670.194397,919.1679077,,
Sub-Saharan Africa (excluding high income),33.30032917,30.67305887,29.52014759,43.3845159,52.01079845,58.32413639,64.89079913,71.8652442,76.73082467,76.47664737,86.47032277,94.14307998,93.37095853,95.36735445,92.82158295,84.66390132,77.85933261,79.70075442,79.25324317,78.58506078,74.83743552,84.8039669,,
South Sudan,,,,,,,,,,,,,,,,,,27.0063858,30.23945427,34.9889183,47.67607498,32.67995834,,
Sub-Saharan Africa,33.34010135,30.71576352,29.56122663,43.42957516,52.05988096,58.37295854,64.94007556,71.90595742,76.76435387,76.50308602,86.51003129,94.18110613,93.41947581,95.4136981,92.87388676,84.71426849,77.91992756,79.7598191,79.31561028,78.64512995,74.8978169,84.85719213,,
Small states,282.5163763,282.4047752,318.5313925,367.7194698,419.8729955,463.5305282,491.4908026,567.5384213,626.6024743,598.3362773,605.1474108,640.0355621,635.3762002,671.0620298,699.3457926,660.6558159,687.0566971,742.2089805,792.2683532,806.7691306,840.3240889,962.9782532,,
Sao Tome and Principe,56.13910675,53.05221176,57.02854919,78.68141174,79.00400543,89.38618469,66.81880188,69.87314606,77.46207428,76.35579681,74.38393402,84.74559784,86.12266541,124.0971375,118.9305573,84.50744629,109.2252121,116.4938812,108.2802429,106.2677612,158.9619141,186.1039734,,
Suriname,166.0800934,91.58084106,158.4947662,167.7593689,213.9029083,243.1322479,315.470398,310.9735107,336.3182068,382.5604858,402.4092407,378.1517334,409.3456421,438.4119263,445.3576355,517.3849487,341.9154663,325.3764954,450.1607971,611.9544678,464.2226563,298.9328003,,
Slovak Republic,204,212,254,344,512,601,729,1029,1252,1320,1297,1352,1319,1370,1289,1109,1176,1189,1300,1342,1394,1685,,
Slovenia,797,826,945,1203,1369,1449,1542,1796,2179,2125,2017,2148,1975,2055,2062,1776,1835,1925,2170,2219,2417,2775,2608,
Sweden,2173,2156,2459,3110,3488,3548,3765,4310,4628,4136,4416,6351,6254,6697,6606,5599,5681,5838,6005,5653,6003,6901,5980,
Eswatini,77.74626923,76.11361694,75.27822876,132.3904419,177.115921,218.7069702,238.984375,253.8012543,267.7253723,282.3049011,346.7011719,369.3705444,343.8296814,306.5707703,285.0514221,252.6778259,227.801651,267.0704651,266.4542236,274.9450989,222.5315857,279.9143066,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,354.0827942,384.1398621,368.2814026,429.4544067,485.7181702,499.6239319,513.2019653,450.6143799,390.2976379,329.6634522,472.4790344,484.1811523,599.8197022,583.3835449,650.0936279,623.9987793,735.5704346,736.6546021,784.7324219,769.7479858,781.5196533,718.4900513,,
Syrian Arab Republic,54.56182098,58.60890198,63.64098358,60.61154175,60.79922104,62.79922867,64.36579895,72.40921021,83.15718079,87.92034149,88.68951416,74.85932159,63.13696671,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,
Chad,10.38308048,12.00212383,18.5837326,18.59137535,28.63477135,32.28604889,34.9785614,35.18187714,38.15471268,36.02885056,36.498703,38.68487549,37.49700546,39.97917175,43.6758728,35.03440857,33.10380936,31.06099701,32.30886459,31.30481529,35.72977829,35.63117981,,
East Asia & Pacific (IDA & IBRD countries),38.55376921,39.69551077,44.25912882,50.54744179,56.8502657,65.30212378,74.89230594,89.55790751,116.9900961,138.9685002,160.8977793,200.951909,234.2451776,264.6871516,288.2643653,308.1135439,313.4021956,343.635342,389.5205776,415.7355509,447.3528938,515.0743292,,
Europe & Central Asia (IDA & IBRD countries),105.9952412,114.7590074,134.29456,162.781804,203.3609949,253.4479743,304.789221,387.1342386,487.8200495,421.2375749,455.5245154,506.9056873,532.253496,566.7599801,536.7609209,417.8003817,407.3879898,456.3197136,475.3340286,502.0406109,553.8577775,658.0845189,,
Togo,11.22799778,11.21350384,12.65094852,15.46995354,16.90148544,17.79439926,18.60928154,22.96606827,27.6753788,29.0416832,31.36204338,35.2552681,36.26974869,40.56192398,43.02396011,37.41205215,51.94157028,52.88779449,53.81824493,50.15758133,54.17138672,54.14671707,,
Thailand,62.15243912,57.19501495,69.73505402,76.2408905,83.09568024,90.88136292,103.6475601,125.625824,149.7132263,150.3565521,169.3820038,192.5660706,202.520874,208.6084442,214.5243378,219.9191132,230.6077423,247.9945374,275.6711121,289.1782837,305.0879211,364.3696899,,
Tajikistan,6,8,8,11,15,17,20,29,41,39,42,49,57,68,74,64,56,58,60,62,70,73,,
Turkmenistan,75.74879456,121.8975067,130.0096741,204.3362274,311.5487366,335.8794556,363.3126526,273.2519531,247.2456665,187.767273,214.1880188,267.0141907,307.661377,363.1092224,422.5318909,390.9945068,408.1997681,461.3667908,457.069458,488.6238403,483.7955933,565.2592773,,
Latin America & the Caribbean (IDA & IBRD countries),283.481508,275.2324955,235.9032836,246.692416,280.6580165,337.7536983,393.3031178,466.9384967,537.3946122,531.3388624,634.7882963,721.8642102,723.1947416,754.3079892,755.8878935,671.4733152,642.3531053,728.3075232,667.7448452,649.2692146,585.8551867,654.3725944,,
Timor-Leste,,,,15.0262661,19.86405373,25.16798592,27.39763641,30.08575439,43.2732811,49.87024689,52.4311409,64.27597809,71.29358673,102.5452957,92.87577057,101.4206314,92.97782898,86.74957275,78.94738007,79.26290131,120.8697434,134.9980011,,
Middle East & North Africa (IDA & IBRD countries),78.95148664,83.61952529,84.65152728,81.6827514,93.85900676,105.5280624,118.314862,143.8201373,176.0919186,196.5277207,218.5063303,247.7353561,256.0950087,245.6654392,245.2988208,235.6497687,261.4230349,255.3711763,267.4938733,247.460043,233.9221451,257.1519952,,
Tonga,53.43399048,55.31956482,62.69612503,68.08676147,102.7355728,108.3314667,149.3160706,134.6738434,191.0229187,117.4822693,166.6062164,155.8877106,207.0079651,163.8098145,202.6357727,169.9488831,191.9367218,212.5710297,219.2879334,229.9441071,246.840271,279.2460327,,
