year,race,race_multiplier
1979,BLACK,0.6649534657591332
1978,BLACK,0.6783265705890583
1977,BLACK,0.6702726092600606
1976,BLACK,0.6765565624086525
1975,BLACK,0.6710092842168314
1974,BLACK,0.6614780331684609
1973,BLACK,0.662339514978602
1972,BLACK,0.6646394439617723
1971,BLACK,0.6657021017362169
1970,BLACK,0.6760691537761602
1969,BLACK,0.6601000151538112
1968,BLACK,0.6609122584732341
1967,BLACK,0.6505178750417642
2023,ASIAN,1.3816593886462882
2022,ASIAN,1.3878842676311032
2021,ASIAN,1.3577661431064572
2020,ASIAN,1.3482456140350878
2019,ASIAN,1.3572044866264021
2018,ASIAN,1.3305555555555555
2017,ASIAN,1.30475302889096
2017,ASIAN,1.3270142180094786
2017,ASIAN,1.3010251630941285
2017,ASIAN,1.3232227488151658
2016,ASIAN,1.2995169082125604
2015,ASIAN,1.3295842538662381
2014,ASIAN,1.2883887252839714
2013,ASIAN,1.346354710674744
2013,ASIAN,1.3936641799113418
2013,ASIAN,1.2063923125130562
2013,ASIAN,1.2487836522867337
2012,ASIAN,1.2825258573761569
2011,ASIAN,1.2292395104895104
2010,ASIAN,1.2556152076257259
2009,ASIAN,1.336262323189027
2008,ASIAN,1.2590850790936297
2007,ASIAN,1.2573038397328882
2006,ASIAN,1.3267203967761934
2005,ASIAN,1.264113115964968
2004,ASIAN,1.2655779974215728
2003,ASIAN,1.184549356223176
2002,ASIAN,1.2104303036806525
2001,ASIAN AND PACIFIC ISLANDER,1.2567154745602023
2000,ASIAN AND PACIFIC ISLANDER,1.2741393786733837
1999,ASIAN AND PACIFIC ISLANDER,1.231600127078259
1998,ASIAN AND PACIFIC ISLANDER,1.160880516920381
1997,ASIAN AND PACIFIC ISLANDER,1.18502649678656
1996,ASIAN AND PACIFIC ISLANDER,1.2000931207077175
1995,ASIAN AND PACIFIC ISLANDER,1.2284457129266262
1994,ASIAN AND PACIFIC ISLANDER,1.2188332122972645
1993,ASIAN AND PACIFIC ISLANDER,1.2128499198421507
1992,ASIAN AND PACIFIC ISLANDER,1.2062636375304838
1991,ASIAN AND PACIFIC ISLANDER,1.2203846153846154
1990,ASIAN AND PACIFIC ISLANDER,1.2408127430076508
1989,ASIAN AND PACIFIC ISLANDER,1.2287149332353302
1988,ASIAN AND PACIFIC ISLANDER,1.1859644702028473
2023,AMERICAN INDIAN AND ALASKA NATIVE,0.7219213973799127
2022,AMERICAN INDIAN AND ALASKA NATIVE,0.7071428571428572
2021,AMERICAN INDIAN AND ALASKA NATIVE,0.7143106457242583
2020,AMERICAN INDIAN AND ALASKA NATIVE,0.713421052631579
2019,AMERICAN INDIAN AND ALASKA NATIVE,0.6735116479723899
2018,AMERICAN INDIAN AND ALASKA NATIVE,0.6840740740740741
2017,AMERICAN INDIAN AND ALASKA NATIVE,0.6894687791239515
2017,AMERICAN INDIAN AND ALASKA NATIVE,0.7012322274881516
2017,AMERICAN INDIAN AND ALASKA NATIVE,0.7056849953401677
2017,AMERICAN INDIAN AND ALASKA NATIVE,0.7177251184834124
2016,AMERICAN INDIAN AND ALASKA NATIVE,0.7620289855072464
2015,AMERICAN INDIAN AND ALASKA NATIVE,0.706266318537859
2014,AMERICAN INDIAN AND ALASKA NATIVE,0.7450567942785024
2013,AMERICAN INDIAN AND ALASKA NATIVE,0.6575099227073323
2013,AMERICAN INDIAN AND ALASKA NATIVE,0.6806141204454536
2013,AMERICAN INDIAN AND ALASKA NATIVE,0.6164612492166284
2013,AMERICAN INDIAN AND ALASKA NATIVE,0.6381230403286842
2012,AMERICAN INDIAN AND ALASKA NATIVE,0.6630375612411541
2011,AMERICAN INDIAN AND ALASKA NATIVE,0.6740603146853147
2010,AMERICAN INDIAN AND ALASKA NATIVE,0.6752492604360688
2009,AMERICAN INDIAN AND ALASKA NATIVE,0.7054222031718816
2008,AMERICAN INDIAN AND ALASKA NATIVE,0.733753740914921
2007,AMERICAN INDIAN AND ALASKA NATIVE,0.6763355592654424
2006,AMERICAN INDIAN AND ALASKA NATIVE,0.6691465178755941
2005,AMERICAN INDIAN AND ALASKA NATIVE,0.7207977207977208
2004,AMERICAN INDIAN AND ALASKA NATIVE,0.7356037816931672
2003,AMERICAN INDIAN AND ALASKA NATIVE,0.7857296137339056
2002,AMERICAN INDIAN AND ALASKA NATIVE,0.7066208820688915
2001,AMERICAN INDIAN AND ALASKA NATIVE,0.7575055303908143
2000,AMERICAN INDIAN AND ALASKA NATIVE,0.7259655751469354
