date,category,percent,trillions
2006:Q3,90_99,37.3,23490881
2006:Q3,50_90,32.3,20329009
2006:Q3,0_50,2.3,1457439
2006:Q4,top_point_1,11.4,7306991
2006:Q4,remaining_top_1,17,10898769
2006:Q4,90_99,37.5,24066948
2006:Q4,50_90,32,20540970
2006:Q4,0_50,2.2,1435360
2007:Q1,top_point_1,11.6,7579361
2007:Q1,remaining_top_1,17.1,11137256
2007:Q1,90_99,37.6,24511101
2007:Q1,50_90,31.6,20566529
2007:Q1,0_50,2.1,1382037
2007:Q2,top_point_1,11.8,7752704
2007:Q2,remaining_top_1,17.1,11239696
2007:Q2,90_99,37.9,24910263
2007:Q2,50_90,31.3,20564092
2007:Q2,0_50,2,1335774
2007:Q3,top_point_1,12,7977298
2007:Q3,remaining_top_1,17.1,11396831
2007:Q3,90_99,38,25288307
2007:Q3,50_90,31,20620633
2007:Q3,0_50,1.9,1286094
2007:Q4,top_point_1,11.9,7797982
2007:Q4,remaining_top_1,17,11203671
2007:Q4,90_99,38.3,25181429
2007:Q4,50_90,31.2,20484191
2007:Q4,0_50,1.6,1077728
2008:Q1,top_point_1,11.7,7441833
2008:Q1,remaining_top_1,17,10837453
2008:Q1,90_99,38.6,24626074
2008:Q1,50_90,31.4,20043505
2008:Q1,0_50,1.4,909819
2008:Q2,top_point_1,11.5,7227788
2008:Q2,remaining_top_1,17,10701777
2008:Q2,90_99,38.6,24278003
2008:Q2,50_90,31.4,19702359
2008:Q2,0_50,1.4,906667
2008:Q3,top_point_1,11.2,6781344
2008:Q3,remaining_top_1,17,10273910
2008:Q3,90_99,38.9,23529034
2008:Q3,50_90,31.8,19229207
2008:Q3,0_50,1.1,693866
2008:Q4,top_point_1,10.7,6147422
2008:Q4,remaining_top_1,17,9773930
2008:Q4,90_99,38.9,22354776
2008:Q4,50_90,32.5,18670389
2008:Q4,0_50,1,560666
2009:Q1,top_point_1,10.4,5802464
2009:Q1,remaining_top_1,17,9506551
2009:Q1,90_99,39,21756086
2009:Q1,50_90,32.8,18290902
2009:Q1,0_50,0.7,403617
2009:Q2,top_point_1,10.3,5823823
2009:Q2,remaining_top_1,17.3,9732055
2009:Q2,90_99,39.3,22142930
2009:Q2,50_90,32.4,18294946
2009:Q2,0_50,0.7,409021
2009:Q3,top_point_1,10.6,6185750
2009:Q3,remaining_top_1,17.5,10185742
2009:Q3,90_99,39.4,22935217
2009:Q3,50_90,31.8,18502220
2009:Q3,0_50,0.6,374797
2009:Q4,top_point_1,10.5,6153762
2009:Q4,remaining_top_1,17.6,10249052
2009:Q4,90_99,39.6,23121155
2009:Q4,50_90,31.7,18527520
2009:Q4,0_50,0.6,323027
2010:Q1,top_point_1,10.7,6348725
2010:Q1,remaining_top_1,17.6,10502010
2010:Q1,90_99,39.7,23620759
2010:Q1,50_90,31.5,18746784
2010:Q1,0_50,0.5,309712
2010:Q2,top_point_1,10.6,6232399
2010:Q2,remaining_top_1,17.6,10328846
2010:Q2,90_99,39.9,23453753
2010:Q2,50_90,31.5,18531080
2010:Q2,0_50,0.5,283669
2010:Q3,top_point_1,10.8,6582538
2010:Q3,remaining_top_1,17.7,10760317
2010:Q3,90_99,40,24336388
2010:Q3,50_90,31,18841495
2010:Q3,0_50,0.5,307261
2010:Q4,top_point_1,11.1,6901873
2010:Q4,remaining_top_1,17.8,11109972
2010:Q4,90_99,40.1,25003481
2010:Q4,50_90,30.7,19153693
2010:Q4,0_50,0.4,227832
2011:Q1,top_point_1,11.3,7156169
2011:Q1,remaining_top_1,17.9,11373594
2011:Q1,90_99,40,25373002
2011:Q1,50_90,30.4,19323310
2011:Q1,0_50,0.4,236849
2011:Q2,top_point_1,11.4,7261995
2011:Q2,remaining_top_1,17.9,11432344
2011:Q2,90_99,39.9,25523954
2011:Q2,50_90,30.4,19426030
2011:Q2,0_50,0.4,262252
2011:Q3,top_point_1,11.1,6904391
2011:Q3,remaining_top_1,17.7,10962212
2011:Q3,90_99,39.8,24707359
2011:Q3,50_90,30.9,19195606
2011:Q3,0_50,0.4,264730
2011:Q4,top_point_1,11.3,7153808
2011:Q4,remaining_top_1,17.8,11247477
2011:Q4,90_99,39.8,25167210
2011:Q4,50_90,30.8,19476420
2011:Q4,0_50,0.4,251424
2012:Q1,top_point_1,11.6,7545067
2012:Q1,remaining_top_1,17.9,11684604
2012:Q1,90_99,39.7,25901488
2012:Q1,50_90,30.4,19811144
2012:Q1,0_50,0.4,276760
2012:Q2,top_point_1,11.6,7577083
2012:Q2,remaining_top_1,17.8,11634191
2012:Q2,90_99,39.6,25861585
2012:Q2,50_90,30.4,19860770
2012:Q2,0_50,0.5,350536
2012:Q3,top_point_1,11.8,7939825
2012:Q3,remaining_top_1,17.9,11992525
2012:Q3,90_99,39.5,26496011
2012:Q3,50_90,30.3,20304093
2012:Q3,0_50,0.6,382769
2012:Q4,top_point_1,11.9,8053543
2012:Q4,remaining_top_1,17.8,12103999
2012:Q4,90_99,39.4,26752268
2012:Q4,50_90,30.3,20568565
2012:Q4,0_50,0.7,463234
2013:Q1,top_point_1,12.1,8518050
2013:Q1,remaining_top_1,17.8,12607681
2013:Q1,90_99,39.4,27845095
2013:Q1,50_90,30.1,21260404
2013:Q1,0_50,0.6,449810
2013:Q2,top_point_1,12,8627124
2013:Q2,remaining_top_1,17.7,12677957
2013:Q2,90_99,39.4,28260965
2013:Q2,50_90,30.1,21625270
2013:Q2,0_50,0.8,542245
2013:Q3,top_point_1,12.1,8993834
2013:Q3,remaining_top_1,17.6,13062791
2013:Q3,90_99,39.3,29098708
2013:Q3,50_90,30.1,22289259
2013:Q3,0_50,0.9,642737
2013:Q4,top_point_1,12.2,9276314
2013:Q4,remaining_top_1,17.7,13464774
2013:Q4,90_99,39.4,29955904
2013:Q4,50_90,29.9,22759468
2013:Q4,0_50,0.8,641208
2014:Q1,top_point_1,12.3,9601331
2014:Q1,remaining_top_1,17.8,13886514
2014:Q1,90_99,39.4,30664102
2014:Q1,50_90,29.6,23056953
2014:Q1,0_50,0.9,683859
2014:Q2,top_point_1,12.5,9979806
2014:Q2,remaining_top_1,18,14356249
2014:Q2,90_99,39.3,31426879
2014:Q2,50_90,29.3,23394117
2014:Q2,0_50,1,780330
2014:Q3,top_point_1,12.5,10039249
2014:Q3,remaining_top_1,18,14456296
2014:Q3,90_99,39.3,31676959
2014:Q3,50_90,29.2,23546605
2014:Q3,0_50,1,813196
2014:Q4,top_point_1,12.6,10301803
2014:Q4,remaining_top_1,18.1,14804601
2014:Q4,90_99,39.4,32236654
2014:Q4,50_90,29,23762064
2014:Q4,0_50,1,811958
2015:Q1,top_point_1,12.6,10546893
2015:Q1,remaining_top_1,18.1,15115903
2015:Q1,90_99,39.3,32826150
2015:Q1,50_90,28.9,24093313
2015:Q1,0_50,1,860293
2015:Q2,top_point_1,12.7,10670581
2015:Q2,remaining_top_1,18.1,15279403
2015:Q2,90_99,39.4,33139774
2015:Q2,50_90,28.8,24209125
2015:Q2,0_50,1.1,888528
2015:Q3,top_point_1,12.5,10403326
2015:Q3,remaining_top_1,18.1,15030500
2015:Q3,90_99,39.4,32770638
2015:Q3,50_90,29,24123128
2015:Q3,0_50,1.1,891016
2015:Q4,top_point_1,12.5,10607666
2015:Q4,remaining_top_1,18.1,15332614
2015:Q4,90_99,39.3,33315183
2015:Q4,50_90,28.9,24486935
2015:Q4,0_50,1.2,978547
2016:Q1,top_point_1,12.5,10756436
2016:Q1,remaining_top_1,18.1,15538557
2016:Q1,90_99,39.4,33786719
2016:Q1,50_90,28.8,24761792
2016:Q1,0_50,1.2,1009098
2016:Q2,top_point_1,12.6,11046539
2016:Q2,remaining_top_1,18.2,15882297
2016:Q2,90_99,39.4,34416507
2016:Q2,50_90,28.7,25070333
2016:Q2,0_50,1.2,1012518
2016:Q3,top_point_1,12.6,11250588
2016:Q3,remaining_top_1,18.2,16190688
2016:Q3,90_99,39.2,34905522
2016:Q3,50_90,28.6,25484401
2016:Q3,0_50,1.3,1129438
2016:Q4,top_point_1,12.5,11203559
2016:Q4,remaining_top_1,18.2,16284307
2016:Q4,90_99,39.3,35158438
2016:Q4,50_90,28.8,25765323
2016:Q4,0_50,1.3,1133975
2017:Q1,top_point_1,12.5,11494861
2017:Q1,remaining_top_1,18.2,16731221
2017:Q1,90_99,39.3,36098730
2017:Q1,50_90,28.7,26345131
2017:Q1,0_50,1.3,1210555
2017:Q2,top_point_1,12.5,11763942
2017:Q2,remaining_top_1,18.2,17098189
2017:Q2,90_99,39.3,36862380
2017:Q2,50_90,28.5,26738665
2017:Q2,0_50,1.4,1290737
2017:Q3,top_point_1,12.5,11909221
2017:Q3,remaining_top_1,18.2,17407020
2017:Q3,90_99,39.4,37538208
2017:Q3,50_90,28.5,27193060
